data_hora,Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m²),Chuva (mm)
2023-06-04,22.63294210749976,23.21547619047619,21.442857142857143,54.964285714285715,59.345238095238095,52.19047619047619,12.617857142857144,13.25952380952381,11.942857142857143,889.702380952381,889.9809523809523,889.4714285714286,2.144047619047619,117.13095238095238,5.207142857142857,1358.3428571428572,0.0
2023-06-11,22.683758156546414,23.363646277309492,21.682598011951608,52.75,58.035714285714285,50.20238095238095,11.476190476190476,12.144047619047619,10.733333333333334,890.4285714285714,890.7047619047619,890.2166666666666,2.267857142857143,106.26190476190476,5.201190476190476,1462.3880952380953,0.0
2023-06-18,22.956751631309285,23.61463401736666,21.695238095238096,55.48809523809524,60.70238095238095,53.07142857142857,12.854761904761904,13.609523809523811,12.265476190476189,889.9011904761904,890.1809523809524,889.6678571428572,2.0702380952380954,104.83333333333333,4.875,1285.1238095238095,0.002380952380952381
2023-06-25,21.632975704879264,22.127089818485675,20.651107287255083,51.845238095238095,56.785714285714285,49.55952380952381,9.939285714285713,10.608333333333334,9.269047619047619,890.6464285714286,890.9357142857143,890.4011904761904,2.3476190476190473,106.3452380952381,5.254761904761905,1454.632142857143,0.0
2023-07-02,21.643673191903797,22.21533062352855,20.528799005975802,49.80952380952381,54.30952380952381,47.38095238095238,9.635714285714286,10.344047619047618,9.008333333333335,890.5999999999999,890.8880952380953,890.3666666666667,2.8083333333333336,92.64285714285714,6.385714285714285,1522.747619047619,0.0
2023-07-09,22.274642371545934,23.003628597757096,21.033788488142086,41.70238095238095,46.67857142857143,39.76190476190476,7.1380952380952385,7.979761904761904,6.458333333333333,889.9654761904762,890.2547619047618,889.7452380952382,2.1619047619047618,118.0952380952381,5.269559074528082,1509.020238095238,0.0
2023-07-16,24.206768429999038,24.90580681400474,22.981293747058945,43.857142857142854,49.11904761904762,41.29761904761905,9.608333333333334,10.433333333333334,8.904761904761905,888.05,888.3488095238096,887.827380952381,2.0464285714285717,140.51190476190476,5.005952380952381,1371.7880952380951,0.0
2023-07-23,22.177380952380954,22.83809523809524,21.11547619047619,48.892857142857146,52.845238095238095,47.05952380952381,10.066666666666666,10.663095238095238,9.610714285714286,892.3363775802404,892.6967595523626,891.9069597335375,2.8883852214529693,82.96428571428571,6.7377688674279455,1334.457142857143,0.0
2023-07-30,23.132159655832613,23.68760136806665,21.804875693464094,43.416666666666664,47.92857142857143,41.54761904761905,8.833333333333334,9.652380952380952,8.24047619047619,891.0821428571428,891.3595238095238,890.8369047619047,2.519047619047619,106.52380952380952,5.717857142857143,1536.9511904761905,0.0
2023-08-06,24.21311203678499,24.72688708235237,23.07641805359485,35.36904761904762,39.785714285714285,33.845238095238095,6.5130952380952385,7.449999999999999,5.814285714285714,891.3333333333334,891.632142857143,891.0940476190475,2.455952380952381,107.80952380952381,5.7023809523809526,1672.4130952380954,0.0
